Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2018,Incremento20172018,Floresta2018,Nuvem2018,NaoObservado2018,NaoFloresta2018,Hidrografia2018,Soma 
 1,-3.25303,-45.97435,S 3 15 10.91,O 45 58 27.66,Zé Doca,2114007,MA,2438,2020.5,0.6,232.9,184.6,0.0,0.0,0.0,100
 2,-4.15502,-45.29588,S 4 9 18.07,O 45 17 45.17,Vitorino Freire,2113009,MA,1209,1166.3,0.0,0,0.0,0.0,43.3,0.0,100
 3,-3.54938,-44.93269,S 3 32 57.77,O 44 55 57.68,Vitória do Mearim,2112902,MA,736,242.8,0.0,16.3,2.1,0.0,464.9,9.9,100
 4,-5.03923,-48.09734,S 5 2 21.23,O 48 5 50.42,Vila Nova dos Martírios,2112852,MA,1196,973.7,0.7,81.3,0.0,0.0,131.8,9.2,99
 5,-3.13012,-45.18793,S 3 7 48.43,O 45 11 16.55,Viana,2112803,MA,1176,506.4,0.0,80.2,12.0,0.0,382.3,195.1,100
 6,-2.11952,-45.43842,S 2 7 10.27,O 45 26 18.31,Turilândia,2112456,MA,1529,1203.8,0.1,53.8,75.3,0.0,135.6,60.5,100
 7,-1.47124,-45.40039,S 1 28 16.46,O 45 24 1.40,Turiaçu,2112407,MA,2603,1943.6,5.4,407.0,137.7,0.0,48.0,66.7,100
 8,-5.60091,-44.82688,S 5 36 3.28,O 44 49 36.77,Tuntum,2112308,MA,3619,1261.5,5.3,377.1,2.9,0.0,1933.7,43.8,100
 9,-3.77013,-45.57549,S 3 46 12.47,O 45 34 31.76,Tufilândia,2112274,MA,274,249.0,0.0,0.0,0.0,0.0,25.0,0.0,100
 10,-4.53616,-44.66999,S 4 32 10.18,O 44 40 11.96,Trizidela do Vale,2112233,MA,225,153.7,0.0,71.3,0.0,0.0,0.0,0.0,100
 11,-8.30801,-45.88700,S 8 18 28.84,O 45 53 13.20,Tasso Fragoso,2112001,MA,4426,0.0,0.0,27.1,0.0,0.0,4398.9,0.0,100
 12,-6.50222,-44.32649,S 6 30 7.99,O 44 19 35.36,Sucupira do Norte,2111904,MA,1087,0.0,0.0,0,0.0,0.0,1087.8,0.0,100
 13,-6.27437,-46.55403,S 6 16 27.73,O 46 33 14.51,Sítio Novo,2111805,MA,3141,59.1,0.0,18.6,0.2,0.0,3063.1,0.0,100
 14,-1.88674,-45.04397,S 1 53 12.26,O 45 2 38.29,Serrano do Maranhão,2111789,MA,1221,1102.0,0.1,55.1,47.9,0.0,2.3,13.7,99
 15,-5.31274,-47.07804,S 5 18 45.86,O 47 4 40.94,Senador La Rocque,2111763,MA,1247,1162.0,0.2,82.2,2.8,0.0,0.0,0.0,99
 16,-3.93889,-45.26408,S 3 56 20.00,O 45 15 50.69,Satubinha,2111722,MA,447,356.2,0.0,0,0.0,0.0,86.7,4.4,100
 17,-2.87304,-44.93268,S 2 52 22.94,O 44 55 57.65,São Vicente Ferrer,2111706,MA,393,296.1,0.0,0,0.0,0.0,97.8,0.0,100
 18,-5.02229,-45.02380,S 5 1 20.24,O 45 1 25.68,São Roberto,2111672,MA,229,229.7,0.0,0,0.0,0.0,0.0,0.0,100
 19,-5.10345,-45.06812,S 5 6 12.42,O 45 4 5.23,São Raimundo do Doca Bezerra,2111631,MA,284,280.2,0.1,2.0,1.8,0.0,0.0,0.0,99
 20,-7.05201,-45.66837,S 7 3 7.24,O 45 40 6.13,São Raimundo das Mangabeiras,2111607,MA,3555,0.0,0.0,0,0.0,0.0,3555.6,0.0,100
 21,-6.85028,-46.80829,S 6 51 1.01,O 46 48 29.84,São Pedro dos Crentes,2111573,MA,987,0.0,0.0,0,0.0,0.0,988.0,0.0,100
 22,-5.13864,-48.34450,S 5 8 19.10,O 48 20 40.20,São Pedro da Água Branca,2111532,MA,725,456.1,0.2,38.7,0.0,0.0,208.0,22.2,100
 23,-3.98602,-44.50422,S 3 59 9.67,O 44 30 15.19,São Mateus do Maranhão,2111508,MA,793,461.5,0.1,215.6,0.0,0.0,106.9,9.0,100
 24,-4.37947,-44.64014,S 4 22 46.09,O 44 38 24.50,São Luís Gonzaga do Maranhão,2111409,MA,981,653.8,0.0,325.5,0.0,0.0,1.7,0.0,100
 25,-2.62711,-44.30617,S 2 37 37.60,O 44 18 22.21,São Luís,2111300,MA,839,376.0,0.5,142.7,29.2,0.0,0.0,291.1,100
 26,-5.01499,-44.55154,S 5 0 53.96,O 44 33 5.54,São José dos Basílios,2111250,MA,366,277.9,0.4,75.4,0.0,0.0,0.0,12.7,100
 27,-2.59520,-44.09279,S 2 35 42.72,O 44 5 34.04,São José de Ribamar,2111201,MA,390,101.5,0.1,112.5,3.8,0.0,0.0,172.2,100
 28,-6.43988,-46.90735,S 6 26 23.57,O 46 54 26.46,São João do Paraíso,2111052,MA,2070,258.2,0.6,17.0,0.0,0.0,1794.8,0.0,100
 29,-3.59710,-46.53744,S 3 35 49.56,O 46 32 14.78,São João do Carú,2111029,MA,620,414.0,0.0,93.4,112.6,0.0,0.0,0.0,99
