Cidades,Arroz_2011,Arroz_2012,Arroz_2013,Arroz_2014,Arroz_2015,Arroz_2016,Arroz_2017,Arroz_2018,Arroz_2019,Arroz_2020
Lago da Pedra,6262,6200,5580,5200,3315,1300,1365,1500,1100,1150
Lago do Junco,1747,1223,1263,1268,826,680,615,340,149,148
Lago Verde,1400,1450,1410,1400,1370,750,136,150,135,130
Lagoa do Mato,3545,2711,2871,2700,1718,1256,1500,1575,559,440
Lago dos Rodrigues,2077,1454,1020,1031,672,510,501,115,86,88
Lagoa Grande do Maranhão,5395,5300,5035,4590,2898,500,550,450,440,420
Lajeado Novo,200,183,129,90,38,27,15,11,13,10
Lima Campos,1020,989,991,1002,704,565,510,451,453,451
Loreto,911,608,1008,906,861,568,713,713,595,1000
Luís Domingues,150,152,150,155,150,156,156,135,10,16
Magalhães de Almeida,1100,455,1210,1300,180,150,140,150,130,110
Maracaçumé,560,550,520,500,100,100,100,50,32,25
Marajá do Sena,5240,5200,4680,4100,3136,500,450,500,450,430
Maranhãozinho,1160,1067,1010,940,376,370,370,137,235,190
Mata Roma,3350,3400,3000,3100,1900,1300,580,650,320,310
Matinha,1059,1069,885,774,704,374,150,100,85,80
Matões,3000,3000,2850,2655,1357,1100,1265,1365,1200,1170
Matões do Norte,2661,2714,2768,2765,2767,2655,2755,2756,742,744
Milagres do Maranhão,3000,3100,2500,2580,1300,500,350,380,350,320
Mirador,5900,5664,5834,5400,4000,4000,1728,1740,935,790
Miranda do Norte,574,585,603,605,400,410,430,435,248,250
Mirinzal,478,475,470,300,229,145,104,33,30,24
Monção,3708,2950,2958,2350,1100,1100,1000,1000,318,279
Montes Altos,307,217,199,149,122,49,63,150,153,140
Morros,48,55,50,70,72,71,12,10,12,10
Nina Rodrigues,1172,1195,1204,1200,500,490,500,503,169,170
Nova Colinas,1071,709,575,530,524,347,133,133,100,102
Nova Iorque,920,960,1050,950,890,965,965,220,242,184
Nova Olinda do Maranhão,2250,2070,2010,2000,265,260,260,250,244,195
Olho d'Água das Cunhãs,1135,1140,1160,1200,1196,800,100,150,120,110
Olinda Nova do Maranhão,1265,1271,948,825,767,425,90,200,120,140
Paço do Lumiar,0,0,0,0,0,0,0,0,0,0
Palmeirândia,1298,1295,1290,1251,858,512,256,150,147,123
Paraibano,3600,3906,4205,4415,3915,2975,3890,638,441,418
Parnarama,4450,3782,4050,3790,2983,1587,1200,1400,1100,990
Passagem Franca,3045,2436,1950,1750,1185,1106,1100,1155,569,432
Pastos Bons,3985,4265,4480,4705,3953,3680,4350,730,321,271
Paulino Neves,300,35,330,350,160,180,150,95,45,36
Paulo Ramos,4284,4300,4128,4010,2877,1800,1200,400,360,370
Pedreiras,955,971,1003,1010,960,774,701,256,225,228
Pedro do Rosário,1365,1373,1043,834,759,434,360,370,365,300
Penalva,2584,2608,1936,1559,1403,810,450,460,300,450
