Cidades,soja_2011,soja_2012,soja_2013,soja_2014,soja_2015,soja_2016,soja_2017,soja_2018,soja_2019
Mata Roma,6000,6660,6660,8100,8100,8400,8420,8000,8150
Matinha,0,0,0,0,0,0,0,0,0
Matões,0,0,0,0,0,0,310,1000,650
Matões do Norte,0,0,0,0,0,0,0,0,0
Milagres do Maranhão,3200,2650,2650,3500,3500,3650,3670,3580,4950
Mirador,3430,4099,4000,10000,11000,11100,11090,12370,12148
Miranda do Norte,0,0,0,0,0,0,0,0,0
Mirinzal,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0
Montes Altos,0,0,0,0,0,0,0,0,0
Morros,0,0,0,0,0,0,0,0,0
Nina Rodrigues,0,0,0,0,0,0,0,0,0
Nova Colinas,4730,4758,4920,5320,5267,5478,2600,3010,1900
Nova Iorque,0,0,0,300,500,650,750,950,600
Nova Olinda do Maranhão,0,0,0,0,0,0,0,0,0
Olho d'Água das Cunhãs,0,0,0,0,0,0,0,0,0
Olinda Nova do Maranhão,0,0,0,0,0,0,0,0,0
Paço do Lumiar,0,0,0,0,0,0,0,0,0
Palmeirândia,0,0,0,0,0,0,0,0,0
Paraibano,0,0,0,0,0,186,120,520,635
Parnarama,0,0,1100,2150,2600,5230,7540,8500,8490
Passagem Franca,0,0,100,90,0,0,0,1000,0
Pastos Bons,3620,4050,4250,4445,5200,5150,4750,8557,8715
Paulino Neves,0,0,0,0,0,0,0,0,0
Paulo Ramos,0,0,0,0,0,0,0,0,0
Pedreiras,0,0,0,0,0,0,0,0,0
Pedro do Rosário,0,0,0,0,0,0,0,0,0
Penalva,0,0,0,0,0,0,0,0,0
Peri Mirim,0,0,0,0,0,0,0,0,0
Peritoró,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Pinheiro,0,0,0,0,0,0,0,0,0
Pio XII,0,0,0,0,0,0,0,0,0
Pirapemas,0,0,0,0,0,0,0,0,0
Poção de Pedras,0,0,0,0,0,0,0,0,0
Porto Franco,0,246,0,0,0,0,0,0,0
Porto Rico do Maranhão,0,0,0,0,0,0,0,0,0
Presidente Dutra,0,0,0,0,0,0,0,0,0
Presidente Juscelino,0,0,0,0,0,0,0,0,0
Presidente Médici,0,0,0,0,0,0,0,0,0
Presidente Sarney,0,0,0,0,0,0,0,0,0
Presidente Vargas,0,0,0,0,0,0,0,0,0
Primeira Cruz,0,0,0,0,0,0,0,0,0
Raposa,0,0,0,0,0,0,0,0,0
Riachão,35916,35996,43540,46860,46561,48417,50436,52020,52500
Ribamar Fiquene,0,0,0,0,0,0,0,0,0
Rosário,0,0,0,0,0,0,0,0,0
Sambaíba,44656,44925,51604,55794,55236,57445,63882,51955,44500
Santa Filomena do Maranhão,0,0,0,0,0,0,0,0,0
Santa Helena,0,0,0,0,0,0,0,0,0
Santa Inês,0,0,0,0,0,0,0,0,0
Santa Luzia,0,240,400,800,3220,2890,3300,8140,8010
Santa Luzia do Paruá,0,0,0,0,0,0,0,0,0
Santa Quitéria do Maranhão,3800,835,1415,1520,1900,2400,2500,3720,3650
Santa Rita,0,0,0,0,0,0,0,0,0
Santana do Maranhão,0,0,0,0,0,0,0,0,0
Santo Amaro do Maranhão,0,0,0,0,0,0,0,0,0
Santo Antônio dos Lopes,0,0,0,0,0,0,0,0,0
São Benedito do Rio Preto,600,610,650,1240,1240,1300,1400,1320,1380
São Bento,0,0,0,0,0,0,0,0,0
São Bernardo,0,0,0,1000,1310,1400,1400,1600,1740
São Domingos do Azeitão,19784,22418,23530,24392,23789,28215,31055,25769,28387
São Domingos do Maranhão,0,0,0,0,0,0,0,1500,1195
São Félix de Balsas,2250,2986,3075,3250,3745,3933,2640,2762,2759
São Francisco do Brejão,0,0,0,0,0,0,0,0,0
São Francisco do Maranhão,0,300,0,240,0,540,670,600,900
São João Batista,0,0,0,0,0,0,0,0,0
São João do Carú,0,0,0,0,0,0,0,0,0
São João do Paraíso,0,0,0,0,100,0,0,20,15
São João do Soter,0,0,0,0,350,400,500,2430,3620
São João dos Patos,0,0,800,1050,1140,1470,1255,1876,3000
São José de Ribamar,0,0,0,0,0,0,0,0,0
São José dos Basílios,0,0,0,0,0,0,0,0,0
São Luís,0,0,0,0,0,0,0,0,0
São Luís Gonzaga do Maranhão,0,0,0,0,0,0,0,0,0
São Mateus do Maranhão,0,0,0,0,0,0,0,0,0
São Pedro da Água Branca,0,0,0,0,0,0,0,0,0
São Pedro dos Crentes,1539,1500,1600,1700,1600,1500,1450,317,1650
São Raimundo das Mangabeiras,14700,14649,15162,16393,16229,16878,18920,19339,17550
São Raimundo do Doca Bezerra,0,0,0,0,0,0,0,0,0
São Roberto,0,0,0,0,0,0,0,0,0
São Vicente Ferrer,0,0,0,0,0,0,0,0,0
Satubinha,0,0,0,0,0,0,0,0,0
Senador Alexandre Costa,63,100,63,65,172,170,372,350,475
Senador La Rocque,0,0,0,0,0,0,0,0,0
Serrano do Maranhão,0,0,0,0,0,0,0,0,0
Sítio Novo,0,0,0,0,0,3000,0,150,178
Sucupira do Norte,1050,1150,1185,3060,3180,1285,1740,4137,6168
Sucupira do Riachão,0,0,0,0,0,0,0,0,0
Tasso Fragoso,113455,114141,146132,157998,156418,162675,180954,186387,188250
Timbiras,0,0,0,0,0,0,0,0,0
Timon,0,0,0,0,0,0,0,0,0
Trizidela do Vale,0,0,0,0,0,0,0,0,0
Tufilândia,0,0,0,0,0,0,0,0,0
Tuntum,0,0,0,0,0,0,0,0,0
Turiaçu,0,0,0,0,0,0,0,0,0
Turilândia,0,0,0,0,0,0,0,0,0
Tutóia,0,0,0,0,0,0,0,0,0
Urbano Santos,600,1590,1690,1350,1350,1400,1450,800,910
Vargem Grande,0,0,0,0,0,0,0,0,0
Viana,0,0,0,0,0,0,0,0,0
Vila Nova dos Martírios,0,0,1000,2180,2160,2770,3275,3350,3130
Vitória do Mearim,0,0,0,0,0,0,0,0,0
Vitorino Freire,0,0,0,0,0,0,0,0,0
Zé Doca,0,0,0,0,0,0,0,0,0
