Cidades;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Fernando Falcão ;577;930.0;481.0;180.0;798.0;466.0;850.0;454.0;629.0;602
Formosa da Serra Negra ;278;361.0;259.0;113.0;212.0;166.0;133.0;115.0;140.0;142
Fortaleza dos Nogueiras ;118;207.0;90.0;117.0;164.0;79.0;90.0;62.0;16.0;43
Fortuna ;39;159.0;18.0;19.0;81.0;126.0;77.0;49.0;39.0;37
Godofredo Viana ;23;10.0;28.0;20.0;26.0;16.0;17.0;5.0;4.0;14
Gonçalves Dias ;27;62.0;28.0;14.0;44.0;55.0;31.0;26.0;2.0;9
Governador Archer ;14;39.0;13.0;15.0;37.0;24.0;7.0;11.0;14.0;2
Governador Edison Lobão ;9;20.0;5.0;25.0;15.0;12.0;25.0;9.0;14.0;16
Governador Eugênio Barros ;29;67.0;15.0;53.0;38.0;72.0;28.0;;14.0;22
Governador Luiz Rocha ;27;61.0;16.0;33.0;40.0;51.0;18.0;13.0;4.0;27
Governador Newton Bello ;26;31.0;51.0;71.0;43.0;30.0;35.0;13.0;29.0;33
Governador Nunes Freire ;98;83.0;45.0;5.0;85.0;32.0;82.0;28.0;63.0;73
Graça Aranha ;12;25.0;8.0;1711.0;21.0;18.0;17.0;8.0;6.0;11
Grajaú ;548;2364.0;559.0;4.0;1277.0;820.0;1835.0;396.0;413.0;422
Guimarães ;7;10.0;8.0;29.0;1.0;4.0;10.0;4.0;12.0;6
Humberto de Campos ;56;53.0;86.0;13.0;41.0;41.0;53.0;47.0;89.0;62
Icatu ;27;29.0;40.0;18.0;10.0;29.0;28.0;13.0;2.0;23
Igarapé do Meio ;44;41.0;29.0;2.0;40.0;32.0;37.0;19.0;6.0;21
Igarapé Grande ;3;5.0;5.0;30.0;5.0;5.0;11.0;3.0;;4
Imperatriz ;23;27.0;6.0;145.0;54.0;58.0;59.0;22.0;30.0;63
Itaipava do Grajaú ;88;144.0;37.0;83.0;104.0;118.0;204.0;60.0;92.0;23
Itapecuru Mirim ;95;109.0;161.0;105.0;96.0;110.0;132.0;42.0;42.0;103
Itinga do Maranhão ;63;137.0;102.0;163.0;312.0;84.0;251.0;62.0;22.0;134
Jatobá ;34;197.0;77.0;483.0;186.0;114.0;148.0;87.0;77.0;84
Jenipapo dos Vieiras ;135;565.0;206.0;34.0;443.0;518.0;683.0;367.0;353.0;124
João Lisboa ;21;26.0;31.0;56.0;31.0;27.0;21.0;11.0;6.0;36
Joselândia ;37;30.0;44.0;36.0;44.0;54.0;25.0;27.0;5.0;21
Junco do Maranhão ;21;41.0;16.0;158.0;46.0;15.0;41.0;11.0;1.0;18
Lago da Pedra ;144;98.0;78.0;10.0;85.0;116.0;98.0;82.0;88.0;78
Lago do Junco ;14;4.0;3.0;10.0;7.0;9.0;10.0;2.0;;11
Lago dos Rodrigues ;2;2.0;3.0;27.0;9.0;4.0;8.0;;;6
Lago Verde ;13;42.0;22.0;129.0;25.0;25.0;9.0;13.0;1.0;24
Lagoa do Mato ;91;266.0;58.0;132.0;165.0;177.0;119.0;118.0;26.0;81
Lagoa Grande do Maranhão ;110;151.0;72.0;43.0;100.0;106.0;52.0;65.0;40.0;25
Lajeado Novo ;29;66.0;30.0;1.0;129.0;34.0;88.0;14.0;21.0;50
Lima Campos ;10;11.0;3.0;399.0;18.0;13.0;16.0;1.0;2.0;4
Loreto ;346;593.0;264.0;23.0;344.0;153.0;259.0;249.0;269.0;198
Luís Domingues ;21;23.0;21.0;22.0;34.0;17.0;17.0;3.0;15.0;13
Magalhães de Almeida ;9;69.0;38.0;31.0;31.0;39.0;38.0;10.0;7.0;9
Maracaçumé ;47;28.0;22.0;273.0;38.0;26.0;45.0;8.0;8.0;11
Marajá do Sena ;167;234.0;196.0;82.0;201.0;185.0;198.0;176.0;8.0;91
Maranhãozinho ;75;70.0;63.0;28.0;61.0;32.0;40.0;12.0;29.0;32
Mata Roma ;56;48.0;27.0;291.0;52.0;45.0;38.0;25.0;49.0;46
Matinha ;18;17.0;17.0;35.0;6.0;15.0;11.0;8.0;3.0;14
Matões ;80;489.0;82.0;74.0;268.0;341.0;311.0;166.0;88.0;199
Matões do Norte ;61;83.0;69.0;9.0;78.0;67.0;113.0;65.0;28.0;55
Milagres do Maranhão ;19;61.0;41.0;1404.0;78.0;46.0;46.0;41.0;46.0;42
Mirador ;790;1784.0;839.0;17.0;1287.0;1242.0;1319.0;892.0;1190.0;1136
Miranda do Norte ;14;18.0;20.0;8.0;22.0;22.0;19.0;10.0;3.0;18
Mirinzal ;15;20.0;30.0;48.0;22.0;13.0;17.0;6.0;21.0;14
Monção ;49;74.0;55.0;92.0;75.0;65.0;76.0;20.0;42.0;43
Montes Altos ;40;178.0;33.0;39.0;155.0;115.0;194.0;50.0;31.0;97
Morros ;77;75.0;84.0;15.0;40.0;48.0;29.0;40.0;34.0;56
Nina Rodrigues ;26;29.0;43.0;28.0;18.0;12.0;16.0;12.0;11.0;16
Nova Colinas ;42;53.0;21.0;131.0;33.0;15.0;36.0;7.0;22.0;31
Nova Iorque ;89;150.0;80.0;60.0;101.0;77.0;105.0;54.0;136.0;94
Nova Olinda do Maranhão ;115;102.0;46.0;12.0;99.0;46.0;64.0;25.0;5.0;61
Olho d'Água das Cunhãs ;11;15.0;5.0;12.0;10.0;5.0;7.0;1.0;3.0;4
Olinda Nova do Maranhão ;17;7.0;15.0;3.0;14.0;17.0;12.0;14.0;6.0;26
Paço do Lumiar ;4;6.0;3.0;10.0;2.0;3.0;9.0;5.0;1.0;1
Palmeirândia ;9;13.0;17.0;56.0;16.0;15.0;13.0;18.0;18.0;33
Paraibano ;34;103.0;42.0;343.0;86.0;70.0;74.0;86.0;31.0;68
Parnarama ;199;824.0;216.0;157.0;580.0;449.0;480.0;154.0;157.0;341
Passagem Franca ;150;269.0;106.0;245.0;266.0;187.0;170.0;80.0;99.0;170
Pastos Bons ;126;261.0;127.0;82.0;192.0;107.0;157.0;148.0;108.0;160
Paulino Neves ;67;88.0;86.0;112.0;73.0;68.0;75.0;74.0;38.0;93
Paulo Ramos ;89;108.0;101.0;10.0;95.0;99.0;109.0;62.0;8.0;70
Pedreiras ;5;7.0;;140.0;19.0;10.0;16.0;3.0;3.0;7
Pedro do Rosário ;207;166.0;111.0;47.0;97.0;108.0;96.0;30.0;140.0;129
Penalva ;78;80.0;55.0;3.0;74.0;67.0;51.0;16.0;54.0;42
Peri Mirim ;3;2.0;8.0;93.0;13.0;5.0;3.0;3.0;1.0;3
Peritoró ;73;62.0;67.0;12.0;60.0;51.0;69.0;36.0;18.0;44
Pindaré-Mirim ;9;15.0;6.0;58.0;11.0;14.0;10.0;5.0;3.0;7
Pinheiro ;29;53.0;48.0;39.0;61.0;66.0;49.0;37.0;43.0;49
Pio XII ;27;62.0;46.0;65.0;53.0;33.0;29.0;16.0;2.0;21
Pirapemas ;90;52.0;56.0;64.0;55.0;44.0;85.0;31.0;5.0;26
Poção de Pedras ;88;59.0;47.0;30.0;40.0;57.0;55.0;45.0;1.0;40
Porto Franco ;30;45.0;33.0;16.0;46.0;27.0;34.0;15.0;21.0;36
Porto Rico do Maranhão ;9;3.0;9.0;24.0;;7.0;10.0;4.0;9.0;12
Presidente Dutra ;12;53.0;8.0;45.0;52.0;45.0;33.0;28.0;19.0;26
Presidente Juscelino ;31;43.0;63.0;51.0;43.0;32.0;39.0;18.0;3.0;33
Presidente Médici ;45;54.0;29.0;11.0;48.0;26.0;41.0;20.0;4.0;25
Presidente Sarney ;20;30.0;20.0;16.0;24.0;23.0;34.0;12.0;45.0;38
Presidente Vargas ;25;17.0;23.0;23.0;17.0;8.0;14.0;4.0;6.0;20
Primeira Cruz ;26;39.0;48.0;2.0;26.0;23.0;41.0;27.0;20.0;35
Raposa ;2;;1.0;;;;1.0;1.0;;1
Riachão ;495;653.0;379.0;463.0;606.0;360.0;458.0;246.0;296.0;442
Ribamar Fiquene ;10;31.0;9.0;25.0;25.0;24.0;11.0;17.0;11.0;9
Rosário ;46;41.0;43.0;40.0;41.0;36.0;40.0;22.0;3.0;37
Sambaíba ;176;336.0;79.0;170.0;238.0;97.0;151.0;107.0;112.0;152
Santa Filomena do Maranhão ;28;129.0;21.0;50.0;91.0;20.0;57.0;11.0;4.0;12
Santa Helena ;60;73.0;92.0;89.0;84.0;81.0;85.0;26.0;74.0;45
Santa Inês ;22;25.0;62.0;11.0;31.0;19.0;13.0;;1.0;13
Santa Luzia ;371;490.0;61.0;470.0;457.0;305.0;317.0;240.0;32.0;154
Santa Luzia do Paruá ;56;50.0;178.0;41.0;70.0;46.0;55.0;19.0;;22
Santa Quitéria do Maranhão ;155;209.0;11.0;166.0;208.0;163.0;149.0;110.0;114.0;114
Santa Rita ;62;45.0;27.0;46.0;37.0;59.0;56.0;29.0;12.0;36
Santana do Maranhão ;116;126.0;15.0;152.0;120.0;113.0;144.0;81.0;78.0;112
Santo Amaro do Maranhão ;15;25.0;38.0;28.0;19.0;25.0;35.0;25.0;9.0;18
Santo Antônio dos Lopes ;34;30.0;90.0;50.0;33.0;37.0;34.0;35.0;19.0;13
São Benedito do Rio Preto ;40;76.0;30.0;31.0;93.0;48.0;28.0;16.0;54.0;30
São Bento ;22;25.0;98.0;19.0;20.0;28.0;25.0;22.0;18.0;37
São Bernardo ;27;113.0;6.0;66.0;122.0;93.0;82.0;65.0;25.0;48
São Domingos do Azeitão ;78;155.0;5.0;145.0;62.0;38.0;89.0;65.0;50.0;41
São Domingos do Maranhão ;47;146.0;34.0;71.0;84.0;81.0;66.0;36.0;90.0;38
São Félix de Balsas ;252;337.0;33.0;296.0;217.0;111.0;332.0;205.0;312.0;223
São Francisco do Brejão ;6;21.0;16.0;28.0;23.0;18.0;16.0;20.0;5.0;12
São Francisco do Maranhão ;50;220.0;62.0;76.0;163.0;167.0;131.0;106.0;57.0;114
São João Batista ;29;36.0;218.0;37.0;38.0;35.0;14.0;17.0;27.0;21
São João do Carú ;64;77.0;48.0;67.0;65.0;31.0;49.0;9.0;50.0;31
São João do Paraíso ;70;87.0;22.0;149.0;103.0;66.0;33.0;68.0;17.0;68
