Cidades,CanaDeAcucar_2011,CanaDeAcucar_2012,CanaDeAcucar_2013,CanaDeAcucar_2014,CanaDeAcucar_2015,CanaDeAcucar_2016,CanaDeAcucar_2017,CanaDeAcucar_2018,CanaDeAcucar_2019,CanaDeAcucar_2020
Loreto,2,2,1,3,3,3,3,3,15,14
Luís Domingues,0,0,0,0,0,0,0,0,0,0
Magalhães de Almeida,0,0,0,0,0,0,0,0,0,0
Maracaçumé,0,0,0,0,0,0,0,0,0,0
Marajá do Sena,0,0,0,0,0,0,0,0,0,0
Maranhãozinho,20,0,5,5,7,5,5,4,5,4
Mata Roma,85,90,95,95,100,90,91,86,62,58
Matinha,0,0,0,0,0,0,0,0,0,0
Matões,50,50,40,60,14,14,8,7,3,4
Matões do Norte,0,0,0,0,0,0,0,0,0,0
Milagres do Maranhão,122,130,133,135,140,90,91,88,86,30
Mirador,275,205,205,205,200,160,163,160,148,195
Miranda do Norte,0,0,0,0,0,0,0,0,0,0
Mirinzal,80,75,30,35,38,38,47,49,47,43
Monção,5,5,5,3,3,0,0,0,0,0
Montes Altos,390,316,444,507,588,549,0,0,0,0
Morros,0,0,0,0,0,0,0,0,0,0
Nina Rodrigues,0,0,0,0,0,0,0,0,0,0
Nova Colinas,7,7,6,6,6,6,6,6,6,5
Nova Iorque,0,0,0,0,0,0,0,0,0,0
Nova Olinda do Maranhão,0,8,8,1,2,0,1,0,0,0
Olho d'Água das Cunhãs,0,0,0,0,0,0,0,0,0,0
Olinda Nova do Maranhão,0,0,0,0,0,0,0,0,0,0
Paço do Lumiar,0,0,0,0,0,0,0,0,0,0
Palmeirândia,20,22,30,33,35,35,50,45,42,45
Paraibano,50,50,45,50,50,50,50,50,45,48
Parnarama,190,190,150,180,210,180,150,150,150,147
Passagem Franca,30,30,30,30,40,40,40,67,72,70
Pastos Bons,110,151,151,151,151,151,151,300,206,211
Paulino Neves,0,0,0,0,0,0,0,29,13,10
Paulo Ramos,0,0,0,0,0,0,0,0,0,0
Pedreiras,29,26,10,13,14,16,15,16,12,8
Pedro do Rosário,0,0,0,0,0,0,0,0,0,0
Penalva,3,3,3,4,5,3,3,4,4,3
Peri Mirim,15,10,0,0,0,0,0,0,0,0
Peritoró,8,8,8,8,10,10,10,10,3,3
0,0,0,0,0,0,0,0,0,0,0
Pinheiro,30,28,15,20,31,31,40,35,33,39
Pio XII,0,0,0,0,0,0,0,0,0,0
Pirapemas,0,0,0,0,0,0,0,0,0,0
Poção de Pedras,0,0,0,0,0,0,0,0,0,0
Porto Franco,307,243,182,182,0,21,45,45,45,42
Porto Rico do Maranhão,0,0,0,0,0,0,0,0,0,0
Presidente Dutra,25,20,20,22,25,25,20,19,18,19
Presidente Juscelino,0,0,0,0,0,0,0,0,0,0
Presidente Médici,0,0,0,0,0,0,0,0,0,0
Presidente Sarney,0,0,0,0,0,0,0,0,0,0
Presidente Vargas,1,0,0,0,0,0,0,0,0,0
Primeira Cruz,0,0,0,0,0,0,0,0,0,0
Raposa,0,0,0,0,0,0,0,0,0,0
Riachão,10,10,8,7,7,7,7,7,7,3
Ribamar Fiquene,645,207,366,366,352,514,1667,1823,1520,1768
Rosário,30,30,25,15,7,7,5,5,4,4
Sambaíba,13,14,13,10,10,10,10,10,15,9
Santa Filomena do Maranhão,0,0,0,0,0,0,0,0,0,0
Santa Helena,0,0,0,0,0,0,0,0,0,0
Santa Inês,0,0,0,0,0,0,0,0,0,0
Santa Luzia,20,20,20,10,10,10,10,0,0,0
Santa Luzia do Paruá,0,0,0,0,0,0,0,0,0,0
Santa Quitéria do Maranhão,180,200,193,190,80,70,60,60,48,37
Santa Rita,0,0,0,0,0,0,0,0,0,0
Santana do Maranhão,0,0,0,0,0,0,0,0,0,0
Santo Amaro do Maranhão,0,0,0,0,0,0,0,0,0,0
Santo Antônio dos Lopes,88,91,92,94,95,99,99,101,78,12
São Benedito do Rio Preto,16,20,22,25,30,25,26,20,13,10
São Bento,0,0,0,0,0,0,0,0,0,0
São Bernardo,190,190,215,250,160,120,115,120,76,62
São Domingos do Azeitão,30,30,30,30,30,30,20,30,20,24
São Domingos do Maranhão,0,0,0,0,0,0,0,0,0,0
São Félix de Balsas,0,0,0,0,0,0,0,0,0,0
São Francisco do Brejão,0,0,0,0,0,0,0,0,0,0
São Francisco do Maranhão,0,0,0,0,0,0,0,0,0,0
São João Batista,2,0,0,0,0,0,0,0,0,0
São João do Carú,12,17,17,7,5,5,0,0,0,0
São João do Paraíso,2,0,0,0,0,0,0,0,0,0
São João do Soter,10,10,10,10,10,10,10,10,4,4
São João dos Patos,35,45,45,45,45,45,45,45,40,42
São José de Ribamar,0,0,0,0,0,0,0,0,0,0
São José dos Basílios,80,88,32,30,35,2,3,2,1,2
São Luís,9,8,6,4,2,1,0,0,0,0
São Luís Gonzaga do Maranhão,0,0,0,0,0,0,0,0,0,0
São Mateus do Maranhão,0,0,0,0,0,0,0,0,0,0
São Pedro da Água Branca,0,0,0,0,0,0,0,0,0,0
São Pedro dos Crentes,0,0,0,0,0,0,0,5,5,0
São Raimundo das Mangabeiras,20252,20197,18844,16500,17110,19200,17500,15148,20010,20240
São Raimundo do Doca Bezerra,0,0,0,0,0,0,0,0,0,0
São Roberto,0,0,0,0,0,0,0,0,0,0
São Vicente Ferrer,0,0,0,0,0,0,0,0,0,0
Satubinha,0,0,0,0,0,0,0,0,0,0
Senador Alexandre Costa,0,0,0,0,0,0,0,0,0,0
Senador La Rocque,0,0,0,0,0,0,0,0,0,0
Serrano do Maranhão,0,0,0,0,0,0,0,0,0,0
Sítio Novo,2,3,3,3,5,5,5,5,4,3
Sucupira do Norte,70,70,70,70,70,70,70,110,89,105
Sucupira do Riachão,160,260,260,260,260,260,260,260,285,274
Tasso Fragoso,0,0,0,0,0,0,0,0,0,0
Timbiras,11,11,11,11,10,10,10,10,3,3
Timon,241,201,241,128,152,178,128,182,134,180
Trizidela do Vale,39,35,20,23,24,27,25,26,18,4
